Registrant Name,amount
YWCA USA,99.9
THE CAMPBELL SPENCER GROUP,100.0
"HERBERT ALLEN ""MIKE"" AILSWORTH",100.0
AMERICAN ASSOCCIATION OF PETROLEUM GEOLOGISTS,100.0
HISPANIC ASSOCIATION OF COLLEGES AND UNIVERSITIES,100.0
MOTHERS AGAINST DRUNK DRIVING,100.0
THE STUTZMAN GROUP LLC,100.0
"DONALD M. NELSON, JR., LLC",100.0
THE REPARATIONIST COLLECTIVE,100.0
"SEARFOSS CONSULTING GROUP, LLC",100.0
"SEB STRATEGIES, LLC",100.0
"MITSUBISHI HEAVY INDUSTRIES AMERICA, INC.",100.0
"DINSMORE & SHOHL, LLP",100.0
THE MICHAEL J. FOX FOUNDATION FOR PARKINSON'S RESEARCH,100.0
LOYOLA UNIVERSITY NEW ORLEANS,100.0
"THE INTERNATIONAL ANTICOUNTERFEITING COALITION, INC.",100.0
"COPPER HILL STRATEGIES, LLC",100.0
INJURED WORKERS PHARMACY,100.0
AIR FORCE SERGEANTS ASSOCIATION,100.0
MR. RAY CHAMBERS,100.0
COUNCIL FOR ADVANCEMENT AND SUPPORT OF EDUCATION,100.0
ODENDAHL STRATEGIES LLC,100.0
ACADEMY FOR RADIOLOGY & BIOMEDICAL IMAGING RESEARCH,100.0
"WAYNE ALLARD ASSOCIATES, LLC",100.0
ISSUE ONE,100.0
NEW JERSEY STATE BAR ASSOCIATION,100.0
GREGORY BROCK,100.0
"CENTER FOR RESPONSIBLE LENDING, A SUPPORTING CORP OF CTR FOR COMMUNITY SELF-HELP",100.0
"BANKS & COMPANY, LLC",100.0
CARGO AIRLINE ASSOCIATION,100.0
FOOTWEAR DISTRIBUTORS & RETAILERS OF AMERICA,100.0
NATIONAL ASSOCIATION OF STATE AVIATION OFFICIALS,100.0
REACH OUT AND READ,100.0
KNA SERVICES INC,100.0
EQUINOR US OPERATIONS LLC,100.0
"EPSTEIN BECKER & GREEN, P.C.",100.0
NATIONAL ENVIRONMENTAL HEALTH ASSOCIATION,100.0
NATIONAL FAIR HOUSING ALLIANCE,100.0
NATIONAL COALITION FOR HISTORY,100.0
IN DEFENSE OF CHRISTIANS ADVOCACY INC,100.0
NATIONAL ABORTION FEDERATION,100.0
ASSOCIATION FOR PROFESSIONALS IN INFECTION CONTROL AND EPIDEMIOLOGY,102.0
FRIENDS OF THE EARTH,107.5
"THE RECYCLING PARTNERSHIP, INC.",107.5
AMERICAN JEWISH CONGRESS,110.0
SOCIETY OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,115.0
ROGER WOLFSON,120.0
"CITIZENS FOR THE EXTENSION OF THE JAMES ZADROGA ACT, INC.",123.3
IMMIGRATION EQUALITY,125.0
THE BIRCH GROUP LLC,125.0
"BISER STRATEGIES, LLC",135.07
APPLIED MEASUREMENT PROFESSIONALS/NBRC,150.0
"NATIONAL ORGANIZATION OF VETERANS' ADVOCATES, INC.",150.0
ALASKA CONSERVATION FOUNDATION,150.0
MARY KAY INC.,150.0
RKF GLOBAL CONSULTING INC,150.0
"THERESA PUGH CONSULTING, LLC",150.0
"MR. CHARLES DOLAN, JR",150.0
MELWOOD HTC,150.0
ROCKY MOUNTAIN CAPITOL CONSULTING,150.0
WATEREUSE ASSOCIATION,150.0
RENEE RAPPAPORT,150.0
UNIVERSITY OF CENTRAL FLORIDA,152.0
"OCEANA, INC.",165.0
ROBERT KAPPELMANN,170.0
"GREAT POINT STRATEGIES, LLC",175.0
TECHSERVE ALLIANCE (FORMERLY NACCB),175.0
ASSOCIATION HEADQUARTERS,175.0
"AMERICAN ASSOCIATION FOR DENTAL, ORAL, AND CRANIOFACIAL RESEARCH",186.5
TRANSPARENCY INTERNATIONAL E. V.,197.49
SOUTH DAKOTA CORN GROWERS ASSOCIATION,200.0
"SUGAR ASSOCIATION, INC.",200.0
POPULATION CONNECTION,200.0
"HOME INSTEAD, INC.",200.0
NATIONAL CENTER ON TIME & LEARNING,200.0
"AMERICAN PUBLIC EDUCATION, INC.",200.0
AMERICAN ORGANIZATION FOR NURSING LEADERSHIP (FORMERLY AMERICAN ORGANIZATION OF NURSE EXECUTIVES,200.0
FUNK & BOLTON,200.0
AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM,200.0
"AMERICAN TECHNOLOGY SPECIALISTS, LLC",200.0
OPTICAL SOCIETY OF AMERICA,200.0
"DEFENSE STRATEGIC ADVANTAGE, LLC",200.0
GRYPHON INTERNATIONAL,200.0
MS. JUDITH BURRELL,200.0
HARGRAVES CONSULTING,200.0
RETIRED ENLISTED ASSOCIATION,200.0
MR. ROBERT CARLSTROM JR.,200.0
HENKEL OF AMERICA INC.,200.0
MR. DEAN MARTILLI,200.0
HILARY SILLS,200.0
MS. MARILYN PARK,200.0
COUNCIL ON STATE TAXATION,200.0
AMERICA BIKES,200.0
VIOLENCE POLICY CENTER,200.0
TENCENT HOLDINGS LIMITED,200.0
CENTER FOR INDIVIDUAL FREEDOM,200.0
CARMAN COMMUNICATIONS,200.0
"VANGUARD GOVERNMENT STRATEGIES, LLC",200.0
TOBACCO-FREE KIDS ACTION FUND,200.0
THE ALS ASSOCIATION,200.0
CARDINAL STRATEGIES,200.0
MAPLEBEAR INC. D/B/A INSTACART,200.0
COLETTE DESMARAIS,200.0
ABENGOA SOLAR LLC,200.0
UNITED ELECTRICAL RADIO & MACHINE WORKERS OF AMERICA,200.0
WEXFORD STRATEGIES,200.0
"CAMPAIGN LEGAL CENTER, INC.",200.0
ASSOCIATION FOR BEHAVIORAL HEALTH AND WELLNESS,200.0
WSB LLC,200.0
AMAC ACTION,204.0
FAMILIES AGAINST MANDATORY MINIMUMS,205.0
"THE SUSAN G. KOMEN BREAST CANCER FOUNDATION, INC. DBA SUSAN G. KOMEN",220.0
JEWISH FEDERATION OF METROPOLITAN CHICAGO (JFMC),225.0
ZHF CONSULTING LLC,225.74
ANIMAL WELFARE INSTITUTE FKA SOCIETY FOR ANIMAL PROTECTIVE LEGISLATION,248.0
BINGHAMTON UNIVERSITY - STATE UNIVERSITY OF NEW YORK,250.0
"VIRENT, INC.",250.0
ELECTRICITY CONSUMERS RESOURCE COUNCIL (ELCON),250.0
"MORRISSEY STRATEGIC PARTNERS, LLC",250.0
"AUXILIUM PHARMACEUTICALS, INC.",250.0
"BROWN & FORTUNATO, P.C.",250.0
"EDENS ADVISORY, LLC",250.0
MR. BENJAMIN WILLIAMS,250.0
NAFSA: ASSOCIATION OF INTERNATIONAL EDUCATORS,250.0
VOX GLOBAL,250.0
"CASTRO STRATEGIES, LLC",250.0
"COMMAND STRATEGIES, LLC",250.0
"SAFER CHEMICALS, HEALTHY FAMILIES",250.0
"HENDERSON STRATEGIES, INC.",250.0
"THIRD DIMENSION STRATEGIES,INC.",250.0
COMMAND POLICY GROUP LLC,250.0
"REHABCARE GROUP, INC.",250.0
"AFFINIS GLOBAL, LLC",250.0
PIER STRATEGIES LLC,250.0
AMERICANS FOR PROSPERITY,250.0
MS. SHEILA FORSYTH,250.0
BLUE PEARL CONSULTING,250.0
"PARK GOVERNMENT RELATIONS, LLC",250.0
FH CONSULTING GROUP,250.0
AMERICAN COUNCIL OF THE BLIND INC,250.0
"PALMER POLICY GROUP, LLC",250.0
P INTEL LLC,250.0
"QVC, INC.",250.0
"RACETRAC, INC.",250.0
"BEACON STREET STRATEGIES, LLC",250.0
ASSOCIATION OF ART MUSEUM DIRECTORS,250.0
OUTSET MEDICAL,250.0
OTTO WEIGL,250.0
"UPLAND STRATEGIES, LLC",250.0
TWILIO INC.,250.0
RENTECH INC,250.0
RESOLUTE-DC,250.0
AMPERE COMPUTING EMPLOYER LLC,250.0
"RH STRATEGIES, LLC",250.0
"CLS STRATEGIES (FORMERLY CHLOPAK, LEONARD, SCHECHTER AND ASSOCIATES, INC.)",250.0
COALITION FOR EMPLOYMENT THROUGH EXPORTS,250.0
"ISTHMUS, LLC",250.0
NIKOLA CORPORATION,250.0
"SAFRAN USA, INC. (FORMERLY SNECMA USA, INC.)",250.0
THE SAVINGS COALITION OF AMERICA,250.0
THE COUNCIL FOR EXCEPTIONAL CHIDLREN,250.0
"LUSSIER, GREGOR, VIENNA & ASSOCIATES",250.0
JENNIFER BERZOK,250.0
AMERICAN PUBLIC HEALTH ASSOCIATION,250.0
BAR EDUCATION,250.0
"WELLS HEALTH GROUP, LLC",250.0
"DCB LAW GROUP, LLC",250.0
BETH ISRAEL MEDICAL CENTER,250.0
SSM HEALTH CARE,250.0
GLENMARK PHARMACEUTICALS USA,250.0
DANIEL S. LEFEVERS DBA DAVID AND GRACE ASSOCIATES,250.0
"MALONEY GOVERNMENT RELATIONS, LLC",250.0
HOUGHTON BRADFORD WHITTED PC. LLO,250.0
MARCH FOR OUR LIVES ACTION FUND,250.0
"HUGHES LAWYERS, LLC",250.0
"ATRIO CONSULTING GROUP, LLC",250.0
MAYO CLINIC,250.0
"BRIGHTSOURCE ENERGY, INC.",250.0
"SWENSON STRATEGIES, INC.",250.0
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY (TSMC),250.0
BEVERLY MARSHALL,250.0
SOCIETY FOR MATERNAL-FETAL MEDICINE,250.0
MHA MANAGEMENT SERVICES CORPORATION,250.0
"DCG PUBLIC AFFAIRS, LLC",250.0
"THE KORRIS GROUP, INC.",250.0
JAHANIAN STRATEGIES LLC,250.0
THE PEW CHARITABLE TRUSTS,250.0
KENNAMETAL INC.,250.0
AMERICAN ACADEMY OF PHYSICAL MEDICINE AND REHABILITATION,250.0
"KELLOGG, HUBER, HANSEN, TODD, EVANS & FIGEL, PLLC",250.0
"JAPAN TOBACCO INTERNATIONAL U.S.A., INC.",250.0
NATIONAL ASSOCIATION OF ENERGY SERVICE COMPANIES,250.0
SKYWATER TECHNOLOGY FOUNDRY,250.0
"THE MITCHELL FIRM, INC.",250.0
MRS. ANITA GALLAGHER,258.32
"HDATA, LLC",260.73
ARTHRITIS FOUNDATION,266.0
AMERICAN SOCIETY OF NEPHROLOGY,278.71
PUBLIC LANDS COUNCIL,280.51
PHYSICIANS COMMITTEE FOR RESPONSIBLE MEDICINE,286.0
"E-MERCHANTS TRADE COUNCIL, INC.",290.0
CLIFFORD SMITH,295.0
ALASKA WILDERNESS LEAGUE,297.24
PROJECT MANAGEMENT INSTITUTE,300.0
WORLDWIDE AEROS CORP.,300.0
ALLEN AND ASSOCIATES,300.0
"LAURA HAAS CONSULTING, LLC (FKA KNOX CONSULTING, LLC)",300.0
CASE WESTERN RESERVE UNIVERSITY,300.0
BERGWALL & ASSOCIATES,300.0
BUTZEL LONG TIGHE PATTON PLLC,300.0
RELIABLE ROBOTICS CORPORATION,300.0
USG CORPORATION,300.0
STATE UNIVERSITY OF NEW YORK AT BUFFALO,300.0
IAC/INTERACTIVECORP,300.0
SIXTEEN THIRTY FUND,300.0
"RYBERG AND SMITH, L.L.C.",300.0
MR. ROBERT BUCKLER,300.0
AMERICAN ASSOCIATION OF STATE COLLEGES AND UNIVERSITIES,300.0
SECURING AMERICA'S FUTURE ENERGY ALLIANCE,300.0
THE BURNHAM GROUP LLC,304.0
AUTISM SPEAKS,311.5
ACADEMY OF MANAGED CARE PHARMACY,315.0
NATIONAL ASSOCIATION OF STATE DIRECTORS OF SPECIAL EDUCATION,330.0
NATIONAL SMALL BUSINESS ASSOCIATION,350.0
UNITYPOINT HEALTH (FORMERLY KNOWN AS: IOWA HEALTH SYSTEM),350.0
TEXAS RETAILERS ASSOCIATION,350.0
AMERICANS FOR PEACE NOW,350.0
RUTTENKERN POLICY GROUP,350.0
"ZERO TO THREE: NATIONAL CENTER FOR INFANTS, TODDLERS, AND FAMILIES",350.0
DRUMMOND WOODSUM STRATEGIC CONSULTING LLC,350.0
STRATEGIC ELEMENTS,350.0
MR. RUSSELL WAPENSKY,350.0
"GRAND CANYON STATE ELECTRIC COOPERATIVE ASSOCIATION, INC.",350.0
"BITUMINOUS COAL OPERATORS' ASSOCIATION, INC.",350.0
S4 GROUP,350.0
VAN FLEET ASSOCIATES,350.0
JORDAN WICKER,350.0
METROPOLITAN CHICAGO HEALTHCARE COUNCIL,350.0
MATHIS STRATEGIES,350.0
PHOENIX CHILDREN'S HOSPITAL,350.0
GIRL SCOUTS OF THE U.S.A.,355.0
CONSORTIUM OF SOCIAL SCIENCE ASSOCIATIONS (COSSA),370.94
LB INTERNATIONAL SOLUTIONS LLC,375.0
ASSOCIATION OF UNIVERSITY CENTERS ON DISABLITIES,375.0
ROSE GARR,375.0
STUDENT VETERANS OF AMERICA,380.0
CENTER ROAD SOLUTIONS,390.0
UNITED SERVICE ORGANIZATIONS,393.0
JACKSONVILLE REGIONAL CHAMBER OF COMMERCE,398.14
IRRIGATION ASSOCIATION,400.0
AMERICAN IMMIGRATION LAWYERS ASSOCIATION,400.0
TRADITIONAL VALUES COALITION,400.0
NETWORK BRANDED PREPAID CARD ASSOCIATION,400.0
"OGLETHORPE PUBLIC AFFAIRS GROUP, INC.",400.0
INTERNATIONAL SOCIETY FOR STEM CELL RESEARCH,400.0
JONATHAN NIEDZIELSKI,400.0
HOMER LAW,400.0
AMERICAN MENTAL HEALTH COUNSELORS ASSOCIATION,400.0
"NEW YORK COMMUNITY BANK, INC.",400.0
SCOTT CANADY,400.0
"GALLANT GOVERNMENT & LAW GROUP, LLC",400.0
ODONNELL & SON LLC,400.0
ALYSON PARKER,400.0
HOLTEC INTERNATIONAL,400.0
PLASMA PROTEIN THERAPEUTICS ASSOCIATION,400.0
CAPITAL BLUE CROSS,400.0
DANA-FARBER CANCER INSTITUTE,400.0
PENNSYLVANIA FARM BUREAU,400.0
THE GOOD FOOD INSTITUTE,405.0
PHYSICIANS FOR FAIR COVERAGE,425.0
THE COALITION TO STOP GUN VIOLENCE,430.0
AMERICANS UNITED FOR LIFE ACTION,440.0
D INITIATIVES LLC,450.0
PATTERSON EARNHART REAL BIRD & WILSON LLP,450.0
"HELENA AGRI-ENTERPRISES, LLC, FORMERLY REPORTED AS HELENA CHEMICAL COMPANY",450.0
"CHARGEPOINT, INC.",450.0
4FRONT VENTURES,450.0
"HENGEN GROUP, LLC",450.0
"OVERTON GROUP, INC.",450.0
NIPPON KEIZAI DANTAI RENGOKAI (JAPAN BUSINESS FEDERATION),450.0
"UNIVERSITY OF MARYLAND, BALTIMORE (UMB)",450.0
"PEOPLE FOR THE ETHICAL TREATMENT OF ANIMALS, INC",457.16
CITIZENS' CLIMATE LOBBY,460.0
FOOD ALLERGY RESEARCH AND EDUCATION (FARE),485.0
IAI NORTH AMERICA,500.0
"MIDWEST HOUSING EQUITY GROUP, INC.",500.0
LUFTHANSA GERMAN AIRLINES,500.0
"INOVIO PHARMACEUTICALS, INC.",500.0
"INDIGO AGRICULTURE, INC.",500.0
AMERICAN SOCIETY OF AGRONOMY,500.0
GLOBAL PROSPECTS LLC,500.0
JULEANNA GLOVER,500.0
ASHCROFT GROUP,500.0
"MAVERICK STRATEGIES, LLC",500.0
NATIONAL ASSOCIATION TO PROTECT CHILDREN EDUCATION FUND,500.0
MCCLAIN HADDOW,500.0
HOSPITAL SERVICE ASSOCIATION OF NORTHEASTERN PENNSYLVANIA,500.0
"MCCLEES CONSULTING, INC.",500.0
KATHERINE DUTILH,500.0
HORIZONS GLOBAL SOLUTIONS LLC,500.0
"LIGHTHOUSE CONSULTING GROUP, LLC",500.0
"INTEGER, LLC",500.0
MS. LAURA ALLENDORF,500.0
"KLINK CAMPAIGNS, INC",500.0
"KITE PHARMA, INC.",500.0
HEALTH DIALOG SERVICES CORPORATION,500.0
MRS. ANDREA DRUMM,500.0
HEALTH NET FEDERAL SERVICES,500.0
IPOLICY SOLUTIONS,500.0
MARK MALONE,500.0
HEATHER MCNATT HENNESSEY LLC,500.0
IOVINO GROUP LLC,500.0
HELICOPTER ASSOCIATION INTERNATIONAL (HAI),500.0
ASSOCIATION OF SCHOOLS AND PROGRAMS OF PUBLIC HEALTH (OLD: ASSOCIATION OF SCHOOL,500.0
LEPRINO FOODS COMPANY,500.0
MR. PETER BARASH,500.0
MR. JOHN COSTER,500.0
ASSOCIATION FOR FINANCIAL PROFESSIONALS,500.0
BAYADA HEARTS FOR HOMECARE,500.0
LEWIS BRISBOIS BISGAARD & SMITH LLP,500.0
"LIEBMAN & ASSOCIATES, INC.",500.0
"GOLDBERG & ASSOCIATES, PLLC",500.0
AUTOS DRIVE AMERICA (FORMERLY: HERE FOR AMERICA),500.0
MR. CARL SCHMID,500.0
"LINCOLN CAPITOL CONSULTING, LLC",500.0
INTERNATIONAL SLEEP PRODUCTS ASSOCIATION,500.0
MORPHOTRAK,500.0
LISA MORTIER (FKA MRS. LISA WALTZMAN MORTIER,500.0
NATIONAL ANIMAL SUPPLEMENT COUNCIL,500.0
"MINORITY BUSINESS ASSOCIATION DBA/MINORITY CANNABIS BUSINESS ASSOCIATION, MCBA",500.0
"ILLUMINA, INC.",500.0
"JN STRATEGIC, INC",500.0
ROY RAMTHUN,500.0
TRIPLE P AMERICA,500.0
"TUELL LAW, P.C.",500.0
DEWEY SQUARE GROUP,500.0
"DIGITAL THERAPEUTICS ALLIANCE, INC",500.0
"DIRECTV, LLC",500.0
AEGERION PHARMACEUTICALS A NOVELION THERAPEUTICS COMPANY,500.0
DNV GL USA INC.,500.0
"SCHOTT NORTH AMERICA, INC.",500.0
DRISCOLL GROUP INC.,500.0
SANTA CLARA VALLEY WATER DISTRICT,500.0
U.S.-ISRAEL SCIENCE & TECHNOLOGY FOUNDATION,500.0
SAGELY SOLUTIONS LLC,500.0
BORGWARNER INC.,500.0
UNION HOME MORTGAGE CORP,500.0
DUDDINGTON GLOBAL STRATEGIES LLC,500.0
S.O. WITT AND ASSOCIATES LLC,500.0
DUNCAN WEINBERG GENZER & PEMBROKE PC,500.0
CHARTWELL EDUCATION GROUP LLC,500.0
EARTH & WATER GROUP,500.0
"THE COALITION AGAINST DOMAIN NAME ABUSE (""CADNA"")",500.0
ECHELON GOVERNMENT AFFAIRS,500.0
ROCHESTER REGIONAL HEALTH,500.0
"ROBOTIC RESEARCH OPCO, LLC",500.0
CEPI-U.S.,500.0
ROBERT WENDELL MOORE,500.0
DEKIEFFER & HORGAN,500.0
ELLEN FERN,500.0
"DECKER GARMAN SULLIVAN AND ASSOCIATES, LLC",500.0
"TRADEWINS, LLC",500.0
THE BLACKOAK GROUP FORMERLY KNOW AS JOHN COLLISON,500.0
"THE DOCANTO GROUP, LLC",500.0
"THE LUNDBERG GROUP, LLC",500.0
THE MARKHAM GROUP,500.0
THE AMERICAN UNIVERSITY IN CAIRO,500.0
ALLEGHENY CONFERENCE ON COMMUNITY DEVELOPMENT,500.0
COUNCIL OF THE GREAT CITY SCHOOLS,500.0
TEMPLE STRATEGIES,500.0
"TELUS COMMUNICATIONS, LLC",500.0
"CUMBERLAND NORTH AMERICA, LLC",500.0
THE SHERWIN-WILLIAMS COMPANY,500.0
ALLIANCE OF NONPROFIT MAILERS,500.0
SUZIE BREWSTER & ASSOCIATES,500.0
"THINKP3, LLC",500.0
SUSAN EDGERTON,500.0
"THIRDCIRCLE, INC.",500.0
DANAHER CORPORATION,500.0
TIM GREEFF,500.0
TITAN AMERICA LLC,500.0
DANDELION ENERGY,500.0
"STONY BROOK UNIVERSITY, SUNY STONY BROOK",500.0
DANIEL PUZON,500.0
STEVEN KINGSLEY,500.0
STEP UP ADVOCACY,500.0
"STATE STREET PARTNERS, L.L.C.",500.0
"BRANSTAD CHURCHILL GROUP, LLC",500.0
UNIVERSITY OF MINNESOTA,500.0
THE CONSERVATION FUND,500.0
FARM CREDIT BANK OF TEXAS,500.0
"PAUL MARCONE & ASSOCIATES, LLC",500.0
"CAPSTONE GROUP NCH, LLC",500.0
CAPITAL CONCEPTS,500.0
"OSBORNE CONSULTING, INC.",500.0
ENVIRONMENTAL LAW AND POLICY CENTER,500.0
FINDARO ASSOCIATES LLC,500.0
"FINDLAY & WESTERN STRATEGIES, LLC",500.0
"WISE ADVICE, INC.",500.0
WISE CARTER CHILD & CARAWAY,500.0
FLEET STREET GROUP,500.0
WITT GLOBAL PARTNERS,500.0
NATIONAL INDUSTRIAL SAND ASSOCIATION,500.0
AMERICAN INSTITUTE OF PHYSICS,500.0
NORTON REGULATORY STRATEGIES,500.0
"FOOD DIRECTIONS, LLC",500.0
"NORTH BRIDGE COMMUNICATIONS, INC.",500.0
WOH GOVERNMENT SOLUTIONS LLC,500.0
WORLD JEWISH CONGRESS (AMERICAN SECTION),500.0
"NESTE US, INC.",500.0
NEOGENOMICS LABORATORIES,500.0
GEOS INSTITUTE (FORMERLY NATIONAL CENTER FOR CONSERVATION SCIENCE),500.0
NATIONAL WILDLIFE REFUGE ASSOCIATION,500.0
GEORGIA CHAMBER OF COMMERCE,500.0
NATIONAL SECURITY ACTION,500.0
OAKLEY CAPITOL CONSULTING LLC,500.0
PAYWARD INC. D/B/A KRAKEN,500.0
NATIONAL MULTIPLE SCLEROSIS SOCIETY,500.0
EVERGREEN CONSULTING LLC,500.0
"WAY FORWARD STRATEGIES, LLC",500.0
NATIONAL HOME INFUSION ASSOCIATION,500.0
"PRECISIONHAWK, INC.",500.0
PUGLIESE ASSOCIATES,500.0
WEST PENN ALLEGHENY HEALTH SYSTEM,500.0
WEST VIRGINIA HOSPITAL ASSOCIATION,500.0
JOHN YOUNG ADVOCACY,500.0
RANDEL RICHNER,500.0
WETSTONE STRATEGIES LLC,500.0
WATER AND POWER LAW GROUP,500.0
"ESHARES, INC. D/B/A CARTA, INC.",500.0
EVGO,500.0
POINT32HEALTH SERVICES INC.,500.0
RESTAURANT BRANDS INTERNATIONAL US SERVICES LLC,500.0
WEXFORD SOLUTIONS LLC,500.0
PENNSYLVANIA HIGHER EDUCATION ASSISTANCE AGENCY,500.0
"RGH HEALTH CONSULTING, LLC",500.0
"RIVERSIDE STRATEGIC SOLUTIONS, LLC",500.0
VIGOR INDUSTRIAL LLC,500.0
"CASE MANAGEMENT, INC",500.0
NEW ENGLAND ANTIVIVISECTION SOCIETY (D/B/A CLIENT LISTED),509.91999999999996
"COMPASS MANAGEMENT PARTNERS, INC.",515.0
ALLIANCE FOR EXCELLENT EDUCATION,520.0
"TAWSHUNSKY LAW FIRM, PLLC",525.0
U.S. GREEN BUILDING COUNCIL,525.0
BRACY TUCKER BROWN & VALANZANO DBA BROWN & ASSOCIATES,525.0
APPLICATION DEVELOPERS ALLIANCE,539.0
"GRIEBOSKI GLOBAL STRATEGIES, LLC",539.9
HOLLRAH LLC,550.0
NATIONAL TAXPAYERS UNION,550.0
LEHIGH VALLEY HEALTH NETWORK,550.0
"NATIONAL MAIN STREET CENTER, INC.",550.0
MS. HEATHER SACHS,550.0
"LES BROWNLEE & ASSOCIATES, LLC",550.0
CINCINNATI CHILDREN'S HOSPITAL MEDICAL CENTER,550.0
PETERSEN GROUP,550.0
SOUTHERN UTAH WILDERNESS ALLIANCE,560.0
"KAR ASSOCIATES, LLC",575.0
INTERNATIONAL CODE COUNCIL (ICC),575.0
"SHELTER ROCK STRATEGIES, LLC",575.0
MR. DAVID HILL,575.0
"THE NATIONAL MENTORING PARTNERSHIP, INC.",584.53
CENTER FOR AMERICAN PROGRESS ACTION FUND,600.0
"CAPITAL PARTNERSHIPS, LLC",600.0
KEISER UNIVERSITY,600.0
UNIVERSITIES SPACE RESEARCH ASSOCIATION,600.0
"BROOKS BAWDEN MOORE, LLC, FORMERLY REPORTED AS BROOKS BAWDEN, LLC",600.0
TRAVEL TECH: THE TRAVEL TECHNOLOGY ASSOCIATION,600.0
NATIONAL COUNCIL OF JEWISH WOMEN,600.0
LUPIN PHARMACEUTICALS INC,600.0
MS. JENNIFER J. BURNS,600.0
"HILL & KNOWLTON STRATEGIES, LLC",600.0
MR. ERIC SHULMAN,600.0
ENTERTAINMENT MERCHANTS ASSOCIATION,600.0
MARY JO HOEKSEMA,600.0
DAIRY BUSINESS ASSOCIATION,600.0
NATIONAL RECREATION AND PARK ASSOCIATION,602.5
"ORSTED NORTH AMERICA, INC.",604.35
"PUBLIC AFFAIRS RESOURCES, INC.",608.0
MS. JOANNA SLANEY,620.0
MICHAEL A. INGRAO,625.0
"DISABILITY RIGHTS EDUCATION & DEFENSE, INC.",625.0
UNIVERSITY OF MARYLAND,640.0
AMERICA'S PROMISE - THE ALLIANCE FOR YOUTH,650.0
