honoree_name,amount
Nakita Hemingway,1.0
Tip to ACTBLUE,1.0
DPW,1.0
Tip for ACTBLUE,1.0
Marcus Thompson,1.0
OH-10 2018 Democratic Nominee Fund,1.0
OH-14 2018 Democratic Nominee Fund,1.0
NY-01 2018 Democratic Nominee Fund,1.0
CA-08 2018 Democratic Nominee Fund,1.0
AcyBlue Federal Tips,1.0
CA-10 2018 Democratic Nominee Fund,1.0
CA-21 2018 Democratic Nominee Fund,1.0
FL-25 2018 Democratic Nominee Fund,1.0
Marlene Katz,1.0
KS-03 2018 Democratic Nominee Fund,1.0
Mary Blackmon Campbell,1.0
Gillibrand 2020,1.0
NJ-11 2018 Democratic Nominee Fund,1.0
ME-02 2018 Democratic Nominee Fund,1.0
Janet Diaz,1.0
Lindsay Drew,1.0
No Contributions,1.0
Matthew L. Lombardi,1.0
Stephen Baughier,1.0
DAGA,1.0
ActBlue Tips,1.5
Senator Jon Oshoff,1.5
Virginia Department of Taxation,1.92
AZ-Sen 2020 Special Election Democratic Nominee,2.27
AK-Sen 2020 Democratic Nominee Fund,2.27
KY-Sen 2020 Democratic Nominee Fund,2.27
TX-Sen 2020 Democratic Nominee Fund,2.27
NC-Sen 2020 Democratic Nominee Fund,2.27
ME-Sen 2020 Democratic Nominee Fund,2.27
CO-Sen 2020 Democratic Nominee Fund,2.27
SC-Sen 2020 Democratic Nominee Fund,2.27
IA-Sen 2020 Democratic Nominee Fund,2.27
Rphael Warnock,2.5
Trader Joe's,2.7
Sen. Mark Warner (VA) and Dr. Peter Cressy (In Kind contribution to charitable event at Mt Vernon for 710 guests. Proceeds from the event went to Mt Vernon Estate & Gardens).,2.75
Bernie for President,3.0
"Katherine Cooper, Deputy Director, Office of Strategy, Partnerships, and Analytics, Office of International Programs, U.S. Food and Drug Administration",3.28
United Academics of Philadelphia,4.0
Senator Tom Casperson-Requested a meeting to discuss Senate Bill 39 and 40.,4.1
Democratic PAC,5.0
Robert LaRussa,5.0
Office of Sen. Tim Kaine,5.0
Acting Deputy Commissioner for Customs & Border Protection Kevin McAleenan,5.0
IT STARTS TODAY,5.0
"U.S. Senator Bernard Sanders, 2020 Presidential Candidate",5.0
Congressional Progress Caucus,5.0
ActBlue Civics Tips,5.0
CONTRIBUTION TO ACTBLUE,5.0
Assistant Secretary for Export Enforcement Bureau of Industry and Security David Mills,5.0
Kasim Reed-Reed for Atlanta,5.0
U.S. Senator Elizabeth Warren 2020 Presidential Candidate,5.0
Ariel Hill-Davis,5.0
Mike Gravel,5.0
ActBlue Technical Services Tips,5.0
Ishmael Cody-Harvell,5.0
James Luisi,5.0
Heidi HeitKamp for Senate,5.0
Earmarked for Mark Kelly,5.0
PEOPLE FOR RYAN TRUNDLE,5.970000000000001
VAN DREW FOR CONGRESS,5.970000000000001
BETSY RADER FOR CONGRESS,5.970000000000001
FRIENDS OF JESS KING,5.970000000000001
MATT LONGJOHN FOR CONGRESS,5.970000000000001
MARY GEREN FOR CONGRESS,5.970000000000001
COMMITTEE TO ELECT JARED GOLDEN,5.970000000000001
KOHL FOR CONGRESS,5.970000000000001
Democratic Congresssional Campaign Committee,6.0
IN KIND TO SYLVIA GARCIA,7.02
IN KIND TO MICHAEL CLOUD,7.02
IN KIND TO  TED CRUZ,7.02
IN KIND TO DAN CRENSHAW,7.02
"Sen. Jeff Flake, Sen. John McCain, Sen. Lindsey Graham, Sen. Marco Rubio, Sen. Charles Schumer, Sen. Richard Durbin, Sen. Michael Bennet, Sen. Robert Menendez",7.08
In-Kind Expenditure: Santorum for President 2016 (helium for 7/10/15 event at which Sen. Rick Santorum spoke.),7.14
"In-Kind Expenditure: Jeb 2016, Inc. (helium for 7/10/15 event which Gov. Jeb Bush addressed via pre-recorded video.)",7.14
In-Kind Expenditure: Ted Cruz for President (helium for 7/10/15 event which Sen. Cruz addressed via pre-recorded video.),7.14
In-Kind Expenditure: Perry for President (helium for 7/10/15 event at which Gov. Rick Perry spoke.),7.14
"In-Kind Expenditure: Carson America, Inc. (helium for 7/10/15 event at which Dr. Ben Carson spoke.)",7.14
In-Kind Expenditure: Marco Rubio for President (helium for 7/10/15 event at which Sen. Rubio spoke),7.15
"Ambassador Robert Holleyman, Deputy US Trade Representative, Office of the US Trade Representative.",7.99
FEC-1184310,8.0
"In-Kind Expenditure: Perry for President (balloons, ribbon for 7/10/15 event at which Gov. Rick Perry spoke)",8.11
"In-Kind Expenditure: Jeb 2016, Inc. (balloons, ribbons for 7/10/15 event which Gov. Jeb Bush addressed via pre-recorded video.)",8.11
"In-Kind Expenditure: Marco Rubio for President (balloons, ribbons, for 7/10/15 event at which Sen. Rubio spoke).",8.11
"In-Kind Expenditure: Ted Cruz for President (balloons, ribbons for 7/10/15 event which Sen. Cruz addressed via pre-recorded video).",8.11
"In-Kind Expenditure: Santorum for President 2016 (ballons, ribbon for 7/10/15 event at which Sen. Rick Santorum spoke)",8.11
"In-Kind Expenditure: Carson America, Inc., (balloons, ribbon for 7/10/15 event at which Dr. Ben Carson spoke)",8.11
"Jon Allen, Director of Office of Great Lakes, MI Dept of Environmental Quality. Breakfast meeting to discuss Great Lakes Investment Strategy and TNC's participation.",9.0
Danny O'Conner,9.0
"Ryan Yamane, HI State House of Representatives. Met at airport bar after field trip to see Maui reefs to discuss marine natural resource needs.",9.9
Michelle de la Isla Victory Fund 2020,10.0
www.gop.org,10.0
"Act Blue, Inc.",10.0
john Lewis,10.0
John Delaney for President,10.0
US Rep Lauren Underwood,10.0
Morgan Harper,10.0
Democratic Legislative Campagin Committee,10.0
Roche Inc Good Government Committee (Wachovia),10.0
"P.O. Box 7557
Arlington, VA., 22207",10.0
Tip for ActBlue Federal Tips,10.0
Sen. Lautenberg,10.0
democratic legislative campaign Committee,10.0
Colbert-Busch,10.0
Shawn Bloch,10.0
"Ambassador John P. Desrocher, U.S. Embassy, Algeria (Non-Monetary Donation)",10.0
FTC PAC,10.0
Bennet For America,10.0
IFAPC,10.0
Bennet for America,10.0
Cori Bush and Andy Levin,10.0
Xochitl for New Mexico Victory Fund 2020,10.0
Carl Levin,10.0
Mary Glassman (CT-5),10.0
LAKER PAC,10.0
Adzi Dauti,10.0
Murcasel-Powell Victory Fund,10.0
Committee to Protect Medicare PAC,10.0
Ray Nash for Congress,10.0
Joseph Drago,10.0
Paperboy Prince,10.0
DRILLERSPAC,10.0
"Rubio for President
P.O.7557
Arlington, VA, 22207",10.0
Paula Jean Swearengen,10.0
Michal Bennet,10.0
Tim Canova for Congress,10.0
Senator Bernard Sanders (presidential campaign),10.0
Evan McMullin for President,10.0
Former Vice President Joe Biden (presidential campaign),10.0
Liz Watson for US Congress,10.0
Hillary,10.0
IN KIND TO JEB HENSARLING,10.44
IRS,11.0
Lieutenant Governor Ralph Northam,11.0
"Sabiha Khan, Field Rep for Sen Dianne Feinstein",11.93
Alexandria Ocasio-Cortez for Congress,12.0
MoveOn.org Political Action,12.0
ActBlue Tip,12.0
Kelly A. Ayotte (in-kind contribution list rental),12.18
Rod Blum (R),12.27
"Brand Energy Services, LLC",12.32
Grassroots Law PAC,12.5
Grassroots Law PAC - Unlimited,12.5
DSCC (for Sen. Doug Jones),12.5
"The Honorable John Cornyn, Majority Whip, U.S. Senate",12.85
afge,13.0
U.S. Sen. John Ossoff,13.34
"Val Neuhart, Import Safety and Interagency Requirements Division Director, U.S. Customs and Border Protection, U.S. Department of Homeland Security",13.44
Widely attended event where Joey Nelson of Congressman Tillis attended,14.0
"In-Kind Expenditure: Carson America, Inc., (live-streaming service for 7/10/15 event at which Dr. Ben Carson spoke.)",14.14
In-Kind Expenditure: Ted Cruz for President (live-streaming service for 7/10/15 event which Sen. Cruz addressed via pre-recorded video.),14.14
In-Kind Expenditure: Perry for President (live-streaming service for 7/10/15 event at which Gov. Rick Perry spoke),14.14
"In-Kind Expenditure: Jeb 2016, Inc (live-streaming service for 7/10/15 event which Gov. Jeb Bush addressed via pre-recorded video.)",14.14
In-Kind Expenditure: Santorum for President 2016 (live-streaming service for 7/10/15 event at which Sen. Rick Santorum spoke.),14.14
In-Kind Expenditure: Marco Rubio for President (live-streaming service for 7/10/15 event at which Sen. Rubio spoke.),14.15
KS Energy Services,14.15
"Jude Webster, U.S. Customs and Border Protection",14.24
"Deborah M. Autor, Deputy Commissioner for Global Regulatory Operations and Politics, U.S. Food and Drug Administration",14.24
"Doug Bailey, Agriculture Marketing Service, U.S Department of Agriculture",14.24
Kirsten Gillbrand,14.28
Shea Roberts,14.28
Angelika Kausche,14.29
Luisa Wakeman,14.29
Mary Robichaux,14.29
IN KIND TO PETE GALLEGO,14.42
IN KIND TO JOAQUIN CASTRO,14.42
IN KIND TO RANDY NEUGEBAUER,14.42
IN KIND TO JOHN CORNYN,14.42
Lunch for incoming WA State Rep Elect Beth Doglio. Met to discuss Doglio's conservation priorities as she headed into office.,14.77
11th Congressional District of Virginia Republican Committee,15.0
Data Pier,15.0
End Citizens United PAC,15.0
Friends of Vennia Francois for Congress,15.0
"McReynolds, Mary",15.0
AFGE PAC at $15.00 per pay period,15.0
Gary Johnson 2016,15.0
RNC National Committee,15.0
Bao Nguyen for Congress,15.0
Jim Keady for Congress,15.0
Regina Lewis-Ward,15.29
Rouda for Congress,15.65
Dr Cameron Webb for Congress,15.65
Appalachian Pipeline Contractors LLP,16.0
Concord 51,16.0
Pallone for Congress (in-kind),16.49
THERESA GREENFI#ELD FOR IOWA,17.0
Kiewit Power Constructors,17.04
IN KIND TO FILEMON VELA,17.46
Americans For Parnell Committee,17.5
Candidate Dr. Alan Gross,17.86
Candidate Rev. Raphael Warnock,17.86
State Representative Barbara Bollier,17.86
"Brunell-Chambers, Vicki",18.0
Jenna Brofsky,18.0
"Representative Chris Gibson received a book, Defending Humanity: Where Force is Justified and Why, as part of a joint briefing on the War powers act with Professor Jens Ohlin of Cornell University.",18.65
Russell Cirincione,19.17
"Sara I. Gideon, Candidate for US Congress",19.23
"Barbara Bollier, Candidate for US Senate",19.23
"Steve Bullock, Former Governor of Montana, Candidate for US Senate",19.23
"Jon Ossoff, Candidate for US Senate",19.23
"Dr. Alan Stuart Gross, Candidate for US Senate",19.23
"Mary Jennings Hegar, Candidate for US Senate",19.23
"John Hickenlooper, Sen. Elect (D-CO)",19.23
Alexander Levine,19.759999999999998
"Troy Jackson, candidate for Congress from Maine",20.0
NEA Fund of Children and Public Education,20.0
Mat Erpelding,20.0
Giffords PAC - IE,20.0
Senator John Ossoff,20.0
Asian Pacific American Institute for Congressional Studies (APAICS),20.0
G Giffords,20.0
Earmarked for Pennsylvania Democratic Party,20.0
Representative Chris Jacobs,20.0
"Donald J, Trump",20.0
Candace Valenzuela (TX-24),20.0
Kirstin Gillibrand,20.0
PAF - UNLIMITED,20.0
TIA PAC,20.0
Elect Dan McConchie,20.0
NAFCU/PAC,20.0
"""Coffee with Chris"" Donation to the campaign of Biden/Harris 2020",20.0
Biden/Harris,20.0
Voces de La Frontera Action,20.0
"Fair Fight, Inc. - Federal",20.0
Democratic Congressional candidates,20.0
"Mr. Donald Beyer, Candidate for US Representative",20.0
Turn PA Blue,20.0
Democratic Party of Wisconsin - State Account,20.0
Shannon Sneed,20.0
Michigan People's Campaign,20.0
Zach Laris,20.0
It Starts Today,20.0
Former Congressman John Delany,20.0
ActBlue Technical Service Tips,20.0
U.S. Rep. Ken Buck (CO),20.0
Johnathan Hersey,20.0
Adam Parkhomenko,20.0
Earmarked for Ted Lieu & Humanity Forward,20.0
Jaime Graham,20.0
Democratic State Central Committee Federal Account,20.0
Arthur Sidney,20.2
Teresa Leger Fernandez for Congress,20.2
Jeff Jordan for Congress,20.2
Coral 4 AZ,20.83
Elect Janet Diaz,20.83
Tess 4 NC Senate,20.83
Support JD Wooten,20.83
Elect Slomski,20.83
Commelectaimys,20.84
Nicole Quick 4 NC,20.84
Wexler & Walker PAC,20.85
United Freshpac,21.0
United Fresh Produce Association Political Action Committee i,21.0
Mark A. Lunsford,21.0
"Tony Niccoli, U.S. Food & Drug Administration",22.22
"Mr. Eric Hirschhorn
BIS/Commerce
Undersecretary Export Controls",22.5
Democratic National Cmte,23.0
NCTA PAC (Wells Fargo Bank NA),23.0
"The recipient of this in-kind contribution was Bill Cassidy for U.S. Senate (press release distribution, dissemination date of 10/1/14)",23.22
Albio Shires,23.5
Be A Hero- CPD Action Fund,24.0
Elmy Bermejo (Lunch meeting with USC VP Martha Escutia),24.5
IN KIND TO TED POE,24.86
tom Udall,25.0
Register2VoteFund,25.0
Patrick McHenry and Jeb Hensarling,25.0
Illinois Democratic County Chairs' Association - Federal Account,25.0
Members of the Senate Majority PAC,25.0
"National Republican Senatorial Committee, Senator Jerry Moran, Chairman",25.0
"Lloyd Smucker, House PA-11",25.0
Derk Hendriksen,25.0
Michele Rayner for Congress,25.0
Alicia Andrews for Delaware,25.0
Bob Kabel,25.0
Sunrise Mivement,25.0
Republican Women for Progress,25.0
NRDC,25.0
Robert Dold for Congress,25.0
U. S. Rep. Gwen Moore,25.0
Matthew Mark Horn,25.0
Mr. Moe Brown,25.0
Sara Tindall Ghazal,25.0
Members of Senate Majority PAC,25.0
Foster Lonnnie Campbell 11,25.0
Jim Hood,25.0
Nathan Shlichler,25.0
Vote Vets. org,25.0
Robbyn Lewis,25.0
Bernie Sanders PAC,25.0
Tim Rtyan,25.0
Vote Run Lead Crowd PAC,25.0
Act Blue Federal TIPS,25.0
Dana Barrett,25.0
"Congressman Ed Markey, Ed Markey for MA",25.0
"Elizabeth Esty, Congresswoman, CT 5th District",25.0
VOTE PAC,25.0
no honoree (husband -- David Lipowicz -- made contribution from joint acct),25.0
Amanda Frankel,25.0
Regina Vidaver,25.0
Sarah for governor,25.0
Democracy Docket Action Fund,25.0
Democratic CongressionalCampaign Committee,25.0
March on PAC,25.0
Paul Fourie,25.0
Kirsten Gillibrand Campaign,25.0
NAFO,25.0
Joni Anderson,25.0
Senarot Lindsay Graham,25.0
Republican National Committee(RNC),25.0
Raphael Warnock/Off the Sidelines PAC,25.0
Pat Elder,25.0
Lindsey  Graham,25.0
Candidate Charles Booker,25.0
"Niki Tsongas, Congresswoman, MA 3rd Congressional District",25.0
"Shenna Bellows, Jeff Merkley, Rick Weiland, Bruce Braley",25.0
Al Franklin,25.0
Society for Vascular Surgery PAC,25.0
Sarah for Governor,25.0
Angela Demaree (candidate for Indiana-5),25.0
Senator Mitch McMonnell,25.0
Aaron Polkey,25.0
Sophia Hawes-Tingey,25.0
Lucas Kunce for Senate,25.0
rand,25.0
Dem Legislative CC,25.0
No Labels,25.0
Majority Rules,25.0
"Representative Earl ""Buddy"" Carter",25.0
Dr. Hiral Tipernerni for Congress,25.0
Marsha Blackburn for U.S. Senate,25.0
Republican Natiional Committee,25.0
"Republican National Committee
P.O. Box 96994
Washington, DC  20090-6994",25.0
Julian Castro 2020,25.0
Democratic Congressional Campagin Committee,25.0
Jim Gray for Congress,25.0
Charles Graham for Congress,25.0
Cott for Congress,25.0
Princess Bride Reunion Event,25.0
American College of Physicians Services PAC,25.0
House Ditch Fund,25.0
Earmarked for Rosa DeLauro,25.0
Earmarked for Steven Bullock,25.0
Earmarked for Ted Lieu,25.0
Unite the Country PAC,25.0
Workers Defense Project,25.0
Alek Skarlatos for Congress,25.0
Colro of Change PAC,25.0
Stacy Abrams; Act Blue,25.0
Donald J. Trump for President Inc.,25.0
DNC and Mike Espy,25.0
Earmarked for Xochitl Torres Small,25.0
Roso Delauro,25.0
DNC/ Joe Biden for President,25.0
Planned Parenthood Federation,25.0
Lorenzo Sanchez,25.0
EARMARKED FOR RASHIDA TLAIB FOR CONGRESS (C00668608),25.0
EARMARKED FOR FUND FOR THE MAJORITY (C00433219),25.0
Rep. Scott Rigell (Virginia-02),25.0
mark Warner,25.0
Jill Homan,25.0
Justin Lewis,25.0
Earmarked for Katie Porter,25.0
Earmarked for Kathleen Williams,25.0
Senator Jeanne Shaheeen,25.0
Florida Rights Restoration Coalition Education Fund,25.0
Heidi Heitcamp; Act Blue,25.0
Maggie Hansford for Brentsville District Supervisor,25.0
"11th Congressional District Democratic Committee
Commonwealth of Virginia",25.0
Sam Petsonk,25.0
General donation:  Did not specify specific individual,25.0
Mandela Barnes for US Senate,25.0
Jeffrey Sites,25.0
Victory Fun Endorsed Candidates,25.0
WWW.GOP.GOV,25.0
Not available,25.0
C/M David Perdue,25.0
Maebe A. Girl,25.0
John Turner,25.0
EVERYTOWN FOR GUN SAFETY,25.0
Kyle Van De Water,25.0
Zoe Lofrgen,25.0
Donald J. Tr2ump,25.0
Lt. Col. (Ret.) Amy McGrath,25.0
RNC-  for baseball hat that was a gift.,25.0
Beej Das,25.0
"Steve Daomes, Loefler and Puedue",25.0
EARMARKED FOR DEMOCRATIC NATIONAL COMMITTEE (C00010603),25.0
Senator Richard S. Madaleno Jr,25.0
Phyllis Harvey-Hall,25.0
Anthony gonzalez,25.0
Kim Mangone for Congress,25.0
AOPA Political Action Committee,25.0
Daniel Dage for Senate,25.0
Scott Rigell for Congress,25.0
Curt Thompson,25.0
Clarke Thompson,25.0
Daniel Blackman,25.0
Daniel Biss,25.0
Various candidates for federal office,25.0
Aeropac,25.0
Marylanders for Craig Wolf,25.0
U. S. Senator Tom Udall,25.0
ActBLue,25.0
Rudy Soto For Congress,25.0
Women Under Forty Political Action Committee,25.0
Equality Maryland PAC,25.0
"McMullin for President Committee, Inc",25.0
American College of Clinical Pharmacy Political Action Committee (ACCP-PAC),25.0
Steil,25.0
Daniel Gade for US Senate (Virginia),25.0
Mello for Mayor,25.0
Cory Booker 2020,25.0
Mark Udall (Senate-Colorado),25.0
Filemon Vela Leadership PAC,25.0
U.S Sen. Michael Bennet,25.0
Steve Daines and Senator Graham,25.0
"Planned Parenthood of Metropolitan Washington, DC Action Fund",25.0
JOe Biden,25.0
Mark Udall (Senate - Colorado),25.0
Christine O'Donnell,25.0
Scott Huffman for Congress,25.0
I gave to  Peter DeFazio For Congress via Act Blue,25.0
Member of Senate Majority PAC,25.0
U.S. Sen. John Hickenlooper,25.0
Lisa Hunter,25.0
Ms. Cynthia Wallace,25.0
Claire McCaskill; Act Blue,25.0
SVS PAC,25.0
Maine Democratic Senate Nominee,25.0
IN-KIND DISBURSEMENT FOR LUNCH CHARGE FOR AUSTIN SCOTT (AUSTIN SCOTT FOR CONGRESS INC),26.0
"IN-KIND DISBURSEMENT FOR LUNCH CHARGE
FOR PAUL BROUN (PAUL BROUN COMMITTEE)",26.0
John Hickenlooper for U.S. Senate,26.0
Fiona Kohrman,26.0
IN-KIND DISBURSEMENT FOR LUNCH CHARGE FOR DON YOUNG (ALASKANS FOR DON YOUNG),26.0
Senators Chris Murphy and Susan Collins; Representatives Derek Kilmer and Grace Meng,26.0
Sen. Mark Warner (VA) and Dr. Peter Cressy (In Kind contribution to charitable event at Mt Vernon for 710 guests. Proceeds from event went to Mt Vernon Estate & Gardens.),26.46
"Dean Pinkert, Commissioner, U.S. International Trade Commissions",26.55
"Richard DiNucci, Deputy Assistant Commissioner, Office of International Trade, U.S. Customs and Border Protection, U.S. Department of Homeland Security",26.55
Jovanka Beckles,27.0
Joshua Collins,27.0
Wisconsin Democrats Federal Account,27.0
Devon Reese for State Senate,27.0
EARMARKED FOR BERNIE 2020 (C00696948),27.0
Ammar Campa-Najvar,27.0
Samelys Lopez,27.0
Democratic Party of Wisconsin (Federal Account),27.0
Bernie Sanders Act Blue,27.0
IN KIND TO TED CRUZ,27.26
African-American Democratic Club of Montgomery County,27.37
"Bill Nelson Recount Fund, Mike Espy, John Barrow, Stacey Abrams, Andrew Gillum",27.5
"The recipient of this in-kind contribution was McConnell for Senate '14 (press release distribution, dissemination date of April 24, 2014).",27.51
Karishma Mehta,28.0
Paula Jean Swearingen,28.0
"EARMARKED FOR WARREN FOR PRESIDENT, INC. (C00693234)",28.0
"Food and beverages for Congressman Aderholt fundraiser held in Vail, CO 1/7/17",28.45
Jill Stein,29.0
COREY BOOKER,29.700000000000003
Krysten Quinn,29.77
"Rubio for President
PO Box 7557
Arlington, VA., 22207",30.0
"Rubio for President 
PO Box 7557
Arlington, VA., 22207",30.0
Grassroots Event with Mayor Pete Buttigieg - Contribution Confirmation ID: 54187744,30.0
National Democratic  Training Committee,30.0
RNC & Pres. Trump,30.0
"Team Graham, Inc. via WinRed",30.0
Maxey Memes PAC,30.0
Consuelo Hernandez,30.0
Chip in to Support President Obama's Agenda,30.0
Multiple republican candidates and members,30.0
Dcc,30.0
"Gainesville District Democratic Committee
Prince William County, VA",30.0
SWAPA PAC,30.0
Kelley Raymond,30.0
Democratic Strategy Institute,30.0
RNC & President Trump,30.0
Republican females,30.0
Democratic Congess members,30.0
"Republican National Committee
President Donald Trump",30.0
RUSY HICKS - FOR CA STATE DEMOCRATIC PARTY CHAIR,30.0
Annual Dues,30.0
Shreyas Amol Jethwani for Florida House District 21,30.0
IN KIND TO JOE BARTON,30.1
IN KIND TO WILLIAM HURD,30.1
N/A - In-kind contribution (online advertising),30.74
Paula Jean Swearengin,30.8
ActBlue Federal Tips + Technical Services,31.0
"First Lady Dorothy McAuliffe and Secretary of Natural Resources, Molly Ward. Snacks and water for a team of people visiting VA's Piney Grove Preserve.",31.42
Council on Foundations presentation where Harriet Tregoning was a speakers at the event. During lunch discussed green infrastructure and state policy development.,31.5
IN KIND TO MAC THORNBERRY,31.88
Tom Steyer,32.0
Kia Hamadanshy,32.0
"Donald J. Trump, Republican National Committee",32.52
Jerome Zeringue (Rep for Louisiana); Chuck Isenhart (Rep for Iowa). Provided lunch at a meeting to discuss a trip for legislators up and down the Mississippi River to educate on nutrient flow.,33.12
DEMOCRATIC PARTY OF GEORGE - FEDERAL ACCOUNT,33.33
Democratic Party of Georgia-Federal,33.34
Honorable Timothy John Ryan,33.6
Honorable Thomas W. Reed II,33.6
Rep Todd Young (IN); Connie Tipton; Carmine Martignetti - in kind contribution for charitable event at Mt. Vernon for 800 guests.  Proceeds from the event went to Mt. Vernon Estate & Gardens.,34.14
IN KIND TO WILL HURD,34.29
"Domenic M Recchia, US House NY-11",34.3
"John Foust, US House VA-10",34.3
"Aimee Belgard, US House NJ-03",34.3
"Pete Aguilar, US House CA-31",34.31
"Ann McClane Kuster, US House NH-02",34.31
"Elizabeth Esty, US House CT-05",34.31
"John Tierney, US House MA-06",34.31
"Tim Bishop, US House NY-01",34.31
"Amerish Bera, US House CA-07",34.41
Right Now Women Pac,35.0
PERDUE for Senate,35.0
tammy Duckworth,35.0
Congessman Joseph Crowley,35.0
CHC BOLD PAC Next Gen event,35.0
Democratic Congressional Campaign Committee/ActBlue,35.0
CHC BOLD Democrats PAC,35.0
Donald J. TRump,35.0
Pride to End Gun Violence,35.0
City of Moorhead,35.0
Bernie Sanders for President 2016,35.0
Ken Plum,35.0
Planned Parenthood Federation of America,35.0
"Katie McGinty, candidate for US Senate from PA",35.0
"Corry Westbrook, Congressional Candidate",35.0
Abigail Spanberger for U.S. Congress,35.0
Move On,35.0
Rep. Marc Veasey; Rep. Kay Granger,37.0
N/A (self),37.3
DAVID TRONE,37.67
Trump Make America Great Committee,38.41
Mark Kelly for U.S. Senate,38.5
jamie harrison,38.5
